source,target,earlier_block,later_block,earlier_n_docs,later_n_docs,earlier_total_docs,later_total_docs,earlier_share,later_share,share_delta,share_delta_abs,new_in_later_block,disappeared_in_later_block,p_value_fisher,q_value,exploratory_signal
adverse_event_reporting,corrective_preventive_action,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
adverse_event_reporting,data_quality,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
adverse_event_reporting,quality_assurance,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
adverse_event_reporting,roles_responsibilities,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
clinical_trial,corrective_preventive_action,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
clinical_trial,data_quality,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
clinical_trial,roles_responsibilities,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
corrective_preventive_action,data_integrity,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
corrective_preventive_action,data_quality,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
corrective_preventive_action,oversight,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
corrective_preventive_action,quality_assurance,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
corrective_preventive_action,roles_responsibilities,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
data_integrity,data_quality,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
data_integrity,roles_responsibilities,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
data_quality,oversight,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
data_quality,quality_assurance,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
data_quality,roles_responsibilities,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
oversight,roles_responsibilities,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
quality_assurance,roles_responsibilities,Before 2015,2015-2019,1,0,1,4,1.0,0.0,-1.0,1.0,False,True,0.20000000000000004,1.0,True
