source,target,pre_n_docs,post_n_docs,pre_total_docs,post_total_docs,pre_share,post_share,absolute_gap,absolute_gap_abs,relative_ratio,log2_ratio_smoothed,is_new_after_covid,is_disappeared_after_covid,large_upward_shift,large_downward_shift,p_value_fisher,q_value,signal_label,weight,first_year,last_year,source_category,target_category
data_integrity,oversight,3.0,1.0,5,9,0.6,0.1111111111111111,-0.4888888888888889,0.4888888888888889,0.18654095026807174,-2.4224357230471405,False,False,False,True,0.09490509490509491,0.8531746031746033,large_downward_shift,4.0,2011.0,2021.0,Data,Clinical_Operations
adverse_event_reporting,clinical_trial,2.0,0.0,5,9,0.4,0.0,-0.4,0.4,0.0024937655860349127,-8.64745842645492,False,True,False,True,0.10989010989010989,0.8531746031746033,pre_only_or_decreased_to_zero,2.0,2011.0,2019.0,Data,Clinical_Operations
adverse_event_reporting,data_integrity,2.0,0.0,5,9,0.4,0.0,-0.4,0.4,0.0024937655860349127,-8.64745842645492,False,True,False,True,0.10989010989010989,0.8531746031746033,pre_only_or_decreased_to_zero,2.0,2011.0,2019.0,Data,Data
adverse_event_reporting,oversight,2.0,0.0,5,9,0.4,0.0,-0.4,0.4,0.0024937655860349127,-8.64745842645492,False,True,False,True,0.10989010989010989,0.8531746031746033,pre_only_or_decreased_to_zero,2.0,2011.0,2019.0,Data,Clinical_Operations
clinical_study,clinical_trial,2.0,0.0,5,9,0.4,0.0,-0.4,0.4,0.0024937655860349127,-8.64745842645492,False,True,False,True,0.10989010989010989,0.8531746031746033,pre_only_or_decreased_to_zero,2.0,2017.0,2019.0,Clinical_Operations,Clinical_Operations
clinical_study,data_integrity,2.0,0.0,5,9,0.4,0.0,-0.4,0.4,0.0024937655860349127,-8.64745842645492,False,True,False,True,0.10989010989010989,0.8531746031746033,pre_only_or_decreased_to_zero,2.0,2017.0,2019.0,Clinical_Operations,Data
clinical_study,oversight,2.0,0.0,5,9,0.4,0.0,-0.4,0.4,0.0024937655860349127,-8.64745842645492,False,True,False,True,0.10989010989010989,0.8531746031746033,pre_only_or_decreased_to_zero,2.0,2017.0,2019.0,Clinical_Operations,Clinical_Operations
clinical_study,regulatory_guideline,2.0,0.0,5,9,0.4,0.0,-0.4,0.4,0.0024937655860349127,-8.64745842645492,False,True,False,True,0.10989010989010989,0.8531746031746033,pre_only_or_decreased_to_zero,2.0,2017.0,2019.0,Clinical_Operations,Governance
clinical_trial,regulatory_guideline,2.0,0.0,5,9,0.4,0.0,-0.4,0.4,0.0024937655860349127,-8.64745842645492,False,True,False,True,0.10989010989010989,0.8531746031746033,pre_only_or_decreased_to_zero,2.0,2017.0,2019.0,Clinical_Operations,Governance
data_integrity,regulatory_guideline,2.0,0.0,5,9,0.4,0.0,-0.4,0.4,0.0024937655860349127,-8.64745842645492,False,True,False,True,0.10989010989010989,0.8531746031746033,pre_only_or_decreased_to_zero,2.0,2017.0,2019.0,Data,Governance
