time_block,source,target,n_docs,block_docs,doc_share
2015-2019,accountability,centralized_monitoring,1,4,0.25
2015-2019,accountability,clinical_trial,1,4,0.25
2015-2019,accountability,data_integrity,1,4,0.25
2015-2019,accountability,governance,1,4,0.25
2015-2019,adverse_event_reporting,adverse_event_underreporting,1,4,0.25
2015-2019,adverse_event_reporting,clinical_quality_assurance,1,4,0.25
2015-2019,adverse_event_reporting,clinical_study,1,4,0.25
2015-2019,adverse_event_reporting,clinical_trial,1,4,0.25
2015-2019,adverse_event_reporting,data_integrity,1,4,0.25
2015-2019,adverse_event_reporting,machine_learning,1,4,0.25
2015-2019,adverse_event_reporting,oversight,1,4,0.25
2015-2019,adverse_event_reporting,predictive_modeling,1,4,0.25
2015-2019,adverse_event_reporting,regulatory_guideline,1,4,0.25
2015-2019,adverse_event_underreporting,clinical_quality_assurance,1,4,0.25
2015-2019,adverse_event_underreporting,clinical_study,1,4,0.25
2015-2019,adverse_event_underreporting,clinical_trial,1,4,0.25
2015-2019,adverse_event_underreporting,data_integrity,1,4,0.25
2015-2019,adverse_event_underreporting,machine_learning,1,4,0.25
2015-2019,adverse_event_underreporting,oversight,1,4,0.25
2015-2019,adverse_event_underreporting,predictive_modeling,1,4,0.25
2015-2019,adverse_event_underreporting,regulatory_guideline,1,4,0.25
2015-2019,centralized_monitoring,clinical_trial,1,4,0.25
2015-2019,centralized_monitoring,data_integrity,1,4,0.25
2015-2019,centralized_monitoring,governance,1,4,0.25
2015-2019,clinical_quality_assurance,clinical_study,1,4,0.25
2015-2019,clinical_quality_assurance,clinical_trial,1,4,0.25
2015-2019,clinical_quality_assurance,data_integrity,1,4,0.25
2015-2019,clinical_quality_assurance,machine_learning,1,4,0.25
2015-2019,clinical_quality_assurance,oversight,1,4,0.25
2015-2019,clinical_quality_assurance,predictive_modeling,1,4,0.25
2015-2019,clinical_quality_assurance,regulatory_guideline,1,4,0.25
2015-2019,clinical_research,clinical_study,1,4,0.25
2015-2019,clinical_research,clinical_trial,1,4,0.25
2015-2019,clinical_research,data_integrity,1,4,0.25
2015-2019,clinical_research,oversight,1,4,0.25
2015-2019,clinical_research,quality_assurance,1,4,0.25
2015-2019,clinical_research,regulatory_guideline,1,4,0.25
2015-2019,clinical_study,clinical_trial,2,4,0.5
2015-2019,clinical_study,data_integrity,2,4,0.5
2015-2019,clinical_study,machine_learning,1,4,0.25
2015-2019,clinical_study,oversight,2,4,0.5
2015-2019,clinical_study,predictive_modeling,1,4,0.25
2015-2019,clinical_study,quality_assurance,1,4,0.25
2015-2019,clinical_study,regulatory_guideline,2,4,0.5
2015-2019,clinical_trial,data_integrity,3,4,0.75
2015-2019,clinical_trial,governance,1,4,0.25
2015-2019,clinical_trial,machine_learning,1,4,0.25
2015-2019,clinical_trial,oversight,2,4,0.5
2015-2019,clinical_trial,predictive_modeling,1,4,0.25
2015-2019,clinical_trial,quality_assurance,2,4,0.5
2015-2019,clinical_trial,regulatory_guideline,2,4,0.5
2015-2019,data_integrity,governance,1,4,0.25
2015-2019,data_integrity,machine_learning,1,4,0.25
2015-2019,data_integrity,oversight,2,4,0.5
2015-2019,data_integrity,predictive_modeling,1,4,0.25
2015-2019,data_integrity,quality_assurance,1,4,0.25
2015-2019,data_integrity,regulatory_guideline,2,4,0.5
2015-2019,machine_learning,oversight,1,4,0.25
2015-2019,machine_learning,predictive_modeling,1,4,0.25
2015-2019,machine_learning,regulatory_guideline,1,4,0.25
2015-2019,oversight,predictive_modeling,1,4,0.25
2015-2019,oversight,quality_assurance,1,4,0.25
2015-2019,oversight,regulatory_guideline,2,4,0.5
2015-2019,predictive_modeling,regulatory_guideline,1,4,0.25
2015-2019,quality_assurance,regulatory_guideline,1,4,0.25
2020-2023,backup_recovery,clinical_trial,1,6,0.16666666666666666
2020-2023,backup_recovery,oversight,1,6,0.16666666666666666
2020-2023,clinical_quality_assurance,clinical_trial,1,6,0.16666666666666666
2020-2023,clinical_quality_assurance,data_integrity,1,6,0.16666666666666666
2020-2023,clinical_quality_assurance,interpretability,1,6,0.16666666666666666
2020-2023,clinical_quality_assurance,quality_assurance,1,6,0.16666666666666666
2020-2023,clinical_quality_assurance,quality_risk_assessment,1,6,0.16666666666666666
2020-2023,clinical_quality_assurance,sponsor_oversight,1,6,0.16666666666666666
2020-2023,clinical_quality_assurance,statistical_modeling,1,6,0.16666666666666666
2020-2023,clinical_research,clinical_trial,1,6,0.16666666666666666
2020-2023,clinical_research,data_integrity,1,6,0.16666666666666666
2020-2023,clinical_research,oversight,1,6,0.16666666666666666
2020-2023,clinical_research,site_monitoring,1,6,0.16666666666666666
2020-2023,clinical_trial,computerized_system,1,6,0.16666666666666666
2020-2023,clinical_trial,computerized_systems_validation,1,6,0.16666666666666666
2020-2023,clinical_trial,critical_to_quality,1,6,0.16666666666666666
2020-2023,clinical_trial,data_integrity,3,6,0.5
2020-2023,clinical_trial,data_quality,1,6,0.16666666666666666
2020-2023,clinical_trial,governance,1,6,0.16666666666666666
2020-2023,clinical_trial,interpretability,2,6,0.3333333333333333
2020-2023,clinical_trial,oversight,3,6,0.5
2020-2023,clinical_trial,quality_assurance,2,6,0.3333333333333333
2020-2023,clinical_trial,quality_risk_assessment,2,6,0.3333333333333333
2020-2023,clinical_trial,remote_auditing,1,6,0.16666666666666666
2020-2023,clinical_trial,risk_based_monitoring,1,6,0.16666666666666666
2020-2023,clinical_trial,site_monitoring,1,6,0.16666666666666666
2020-2023,clinical_trial,sponsor_oversight,1,6,0.16666666666666666
2020-2023,clinical_trial,statistical_modeling,2,6,0.3333333333333333
2020-2023,clinical_trial,technical_support,1,6,0.16666666666666666
2020-2023,computerized_system,computerized_systems_validation,1,6,0.16666666666666666
2020-2023,computerized_system,critical_to_quality,1,6,0.16666666666666666
2020-2023,computerized_system,data_quality,1,6,0.16666666666666666
2020-2023,computerized_system,governance,1,6,0.16666666666666666
2020-2023,computerized_system,risk_based_monitoring,1,6,0.16666666666666666
2020-2023,computerized_systems_validation,critical_to_quality,1,6,0.16666666666666666
2020-2023,computerized_systems_validation,data_quality,1,6,0.16666666666666666
2020-2023,computerized_systems_validation,governance,1,6,0.16666666666666666
2020-2023,computerized_systems_validation,risk_based_monitoring,1,6,0.16666666666666666
2020-2023,critical_to_quality,data_quality,1,6,0.16666666666666666
2020-2023,critical_to_quality,governance,1,6,0.16666666666666666
2020-2023,critical_to_quality,risk_based_monitoring,1,6,0.16666666666666666
2020-2023,data_integrity,interpretability,2,6,0.3333333333333333
2020-2023,data_integrity,oversight,1,6,0.16666666666666666
2020-2023,data_integrity,quality_assurance,2,6,0.3333333333333333
2020-2023,data_integrity,quality_risk_assessment,2,6,0.3333333333333333
2020-2023,data_integrity,remote_auditing,1,6,0.16666666666666666
2020-2023,data_integrity,site_monitoring,1,6,0.16666666666666666
2020-2023,data_integrity,sponsor_oversight,1,6,0.16666666666666666
2020-2023,data_integrity,statistical_modeling,2,6,0.3333333333333333
2020-2023,data_quality,governance,1,6,0.16666666666666666
2020-2023,data_quality,risk_based_monitoring,1,6,0.16666666666666666
2020-2023,governance,risk_based_monitoring,1,6,0.16666666666666666
2020-2023,interpretability,quality_assurance,2,6,0.3333333333333333
2020-2023,interpretability,quality_risk_assessment,2,6,0.3333333333333333
2020-2023,interpretability,remote_auditing,1,6,0.16666666666666666
2020-2023,interpretability,sponsor_oversight,1,6,0.16666666666666666
2020-2023,interpretability,statistical_modeling,2,6,0.3333333333333333
2020-2023,oversight,site_monitoring,1,6,0.16666666666666666
2020-2023,oversight,technical_support,1,6,0.16666666666666666
2020-2023,quality_assurance,quality_risk_assessment,2,6,0.3333333333333333
2020-2023,quality_assurance,remote_auditing,1,6,0.16666666666666666
2020-2023,quality_assurance,sponsor_oversight,1,6,0.16666666666666666
2020-2023,quality_assurance,statistical_modeling,2,6,0.3333333333333333
