from,to,strength
clinical_trial,data_integrity,10
clinical_trial,quality_assurance,6
clinical_trial,oversight,6
data_integrity,quality_assurance,5
data_integrity,oversight,4
clinical_trial,risk_based_monitoring,3
clinical_trial,statistical_modeling,2
data_integrity,interpretability,2
data_integrity,machine_learning,2
data_integrity,quality_risk_assessment,2
data_integrity,regulatory_guideline,2
adverse_event_reporting,clinical_trial,2
data_integrity,site_monitoring,2
data_integrity,statistical_modeling,2
interpretability,quality_assurance,2
interpretability,quality_risk_assessment,2
interpretability,statistical_modeling,2
oversight,quality_assurance,2
oversight,regulatory_guideline,2
quality_assurance,quality_risk_assessment,2
quality_assurance,statistical_modeling,2
data_integrity,risk_based_monitoring,2
clinical_trial,regulatory_guideline,2
clinical_trial,site_monitoring,2
adverse_event_reporting,data_integrity,2
adverse_event_reporting,oversight,2
clinical_quality_assurance,clinical_trial,2
clinical_quality_assurance,data_integrity,2
clinical_research,clinical_trial,2
clinical_research,data_integrity,2
clinical_research,oversight,2
clinical_study,clinical_trial,2
clinical_study,data_integrity,2
clinical_study,oversight,2
clinical_study,regulatory_guideline,2
clinical_trial,data_quality,2
clinical_trial,governance,2
clinical_trial,interpretability,2
clinical_trial,machine_learning,2
clinical_trial,quality_risk_assessment,2
quality_risk_assessment,statistical_modeling,2
