term,Pre-COVID_token_count,Pre-COVID_doc_count,Pre-COVID_doc_share,Post-COVID_token_count,Post-COVID_doc_count,Post-COVID_doc_share,doc_share_gap,log2_ratio_smoothed,p_value_fisher,q_value
monitoring,1,1,0.2,19,8,0.8888888888888888,0.6888888888888889,2.14642971169053,0.022977022977022976,0.7967032967032969
safety,4,1,0.2,18,7,0.7777777777777778,0.5777777777777777,1.9540162163119343,0.0909090909090909,0.8416083916083915
activities,0,0,0.0,4,4,0.4444444444444444,0.4444444444444444,8.799101700708459,0.2207792207792208,0.8416083916083915
system,0,0,0.0,13,4,0.4444444444444444,0.4444444444444444,8.799101700708459,0.2207792207792208,0.8416083916083915
issues,0,0,0.0,6,3,0.3333333333333333,0.3333333333333333,8.385143389891024,0.25824175824175827,0.8416083916083915
provide,0,0,0.0,5,3,0.3333333333333333,0.3333333333333333,8.385143389891024,0.25824175824175827,0.8416083916083915
risk_based_monitoring,0,0,0.0,6,3,0.3333333333333333,0.3333333333333333,8.385143389891024,0.25824175824175827,0.8416083916083915
consent,0,0,0.0,4,3,0.3333333333333333,0.3333333333333333,8.385143389891024,0.25824175824175827,0.8416083916083915
enabled,0,0,0.0,7,3,0.3333333333333333,0.3333333333333333,8.385143389891024,0.25824175824175827,0.8416083916083915
study,4,2,0.4,9,6,0.6666666666666666,0.2666666666666666,0.735525778636631,0.5804195804195804,0.8416083916083915
risk,2,2,0.4,17,6,0.6666666666666666,0.2666666666666666,0.735525778636631,0.5804195804195804,0.8416083916083915
multiple,1,1,0.2,5,4,0.4444444444444444,0.2444444444444444,1.1480500095295296,0.5804195804195804,0.8416083916083915
patient,3,1,0.2,9,4,0.4444444444444444,0.2444444444444444,1.1480500095295296,0.5804195804195804,0.8416083916083915
adaptive,0,0,0.0,5,2,0.2222222222222222,0.2222222222222222,7.802336847290979,0.5054945054945055,0.8416083916083915
operational,0,0,0.0,4,2,0.2222222222222222,0.2222222222222222,7.802336847290979,0.5054945054945055,0.8416083916083915
statistical_modeling,0,0,0.0,6,2,0.2222222222222222,0.2222222222222222,7.802336847290979,0.5054945054945055,0.8416083916083915
patients,0,0,0.0,8,2,0.2222222222222222,0.2222222222222222,7.802336847290979,0.5054945054945055,0.8416083916083915
ensure,0,0,0.0,5,2,0.2222222222222222,0.2222222222222222,7.802336847290979,0.5054945054945055,0.8416083916083915
quality_risk_assessment,0,0,0.0,4,2,0.2222222222222222,0.2222222222222222,7.802336847290979,0.5054945054945055,0.8416083916083915
covid,0,0,0.0,6,2,0.2222222222222222,0.2222222222222222,7.802336847290979,0.5054945054945055,0.8416083916083915
capacity,0,0,0.0,8,2,0.2222222222222222,0.2222222222222222,7.802336847290979,0.5054945054945055,0.8416083916083915
center,0,0,0.0,5,2,0.2222222222222222,0.2222222222222222,7.802336847290979,0.5054945054945055,0.8416083916083915
level,2,1,0.2,5,3,0.3333333333333333,0.1333333333333333,0.7340916987120958,1.0,1.0
audit,1,1,0.2,8,3,0.3333333333333333,0.1333333333333333,0.7340916987120958,1.0,1.0
vacctrain,0,0,0.0,5,1,0.1111111111111111,0.1111111111111111,6.808785457664045,1.0,1.0
quality_tolerance_limit,0,0,0.0,10,1,0.1111111111111111,0.1111111111111111,6.808785457664045,1.0,1.0
randomised,0,0,0.0,5,1,0.1111111111111111,0.1111111111111111,6.808785457664045,1.0,1.0
registry,0,0,0.0,6,1,0.1111111111111111,0.1111111111111111,6.808785457664045,1.0,1.0
blockchain,0,0,0.0,6,1,0.1111111111111111,0.1111111111111111,6.808785457664045,1.0,1.0
nras,0,0,0.0,7,1,0.1111111111111111,0.1111111111111111,6.808785457664045,1.0,1.0
treatments,0,0,0.0,6,1,0.1111111111111111,0.1111111111111111,6.808785457664045,1.0,1.0
emergency,0,0,0.0,5,1,0.1111111111111111,0.1111111111111111,6.808785457664045,1.0,1.0
emergencies,0,0,0.0,5,1,0.1111111111111111,0.1111111111111111,6.808785457664045,1.0,1.0
quality_by_design,0,0,0.0,8,1,0.1111111111111111,0.1111111111111111,6.808785457664045,1.0,1.0
csm,0,0,0.0,5,1,0.1111111111111111,0.1111111111111111,6.808785457664045,1.0,1.0
dmc,0,0,0.0,7,1,0.1111111111111111,0.1111111111111111,6.808785457664045,1.0,1.0
glaucoma,0,0,0.0,6,1,0.1111111111111111,0.1111111111111111,6.808785457664045,1.0,1.0
systems,4,2,0.4,6,4,0.4444444444444444,0.0444444444444444,0.15164327425353769,1.0,1.0
guidelines,3,1,0.2,3,2,0.2222222222222222,0.0222222222222222,0.15128515611205084,1.0,1.0
