covid_period,term,token_count,doc_count,doc_share
Pre-COVID,clinical_trial,18,5,1.0
Pre-COVID,research,17,4,0.8
Pre-COVID,international,9,1,0.2
Pre-COVID,reporting,8,3,0.6
Pre-COVID,large,8,2,0.4
Pre-COVID,practices,8,3,0.6
Pre-COVID,quality_assurance,7,3,0.6
Pre-COVID,financial,7,2,0.4
Pre-COVID,cost,7,1,0.2
Pre-COVID,veterinary,7,1,0.2
Pre-COVID,clinical_study,7,2,0.4
Pre-COVID,management,6,3,0.6
Pre-COVID,regulated,6,1,0.2
Pre-COVID,infrastructure,5,1,0.2
Pre-COVID,publicly,5,1,0.2
Pre-COVID,network,5,1,0.2
Pre-COVID,performance,5,2,0.4
Pre-COVID,preclinical,5,1,0.2
Pre-COVID,community,5,1,0.2
Pre-COVID,roche,5,1,0.2
Pre-COVID,data_integrity,4,4,0.8
Pre-COVID,global,4,3,0.6
Pre-COVID,regulatory,4,3,0.6
Pre-COVID,inspections,4,2,0.4
Pre-COVID,systems,4,2,0.4
Pre-COVID,study,4,2,0.4
Pre-COVID,funded,4,1,0.2
Pre-COVID,phase,4,1,0.2
Pre-COVID,iii,4,1,0.2
Pre-COVID,non,4,1,0.2
Pre-COVID,machine_learning,4,1,0.2
Pre-COVID,safety,4,1,0.2
Pre-COVID,target,3,1,0.2
Pre-COVID,investigator,3,3,0.6
Pre-COVID,sponsors,3,2,0.4
Pre-COVID,procedures,3,2,0.4
Pre-COVID,fda,3,2,0.4
Pre-COVID,oversight,3,3,0.6
Pre-COVID,conduct,3,3,0.6
Pre-COVID,adverse_event_reporting,3,2,0.4
Pre-COVID,initiatives,3,2,0.4
Pre-COVID,development,3,2,0.4
Pre-COVID,public,3,2,0.4
Pre-COVID,reduce,3,1,0.2
Pre-COVID,hiv,3,1,0.2
Pre-COVID,disease,3,2,0.4
Pre-COVID,translational,3,2,0.4
Pre-COVID,stroke,3,1,0.2
Pre-COVID,response,3,1,0.2
Pre-COVID,guidelines,3,1,0.2
Post-COVID,clinical_trial,25,9,1.0
Post-COVID,monitoring,19,8,0.8888888888888888
Post-COVID,safety,18,7,0.7777777777777778
Post-COVID,risk,17,6,0.6666666666666666
Post-COVID,management,13,3,0.3333333333333333
Post-COVID,system,13,4,0.4444444444444444
Post-COVID,regulatory,11,2,0.2222222222222222
Post-COVID,quality_tolerance_limit,10,1,0.1111111111111111
Post-COVID,patient,9,4,0.4444444444444444
Post-COVID,study,9,6,0.6666666666666666
Post-COVID,audit,8,3,0.3333333333333333
Post-COVID,capacity,8,2,0.2222222222222222
Post-COVID,patients,8,2,0.2222222222222222
Post-COVID,quality_by_design,8,1,0.1111111111111111
Post-COVID,data_integrity,7,6,0.6666666666666666
Post-COVID,nras,7,1,0.1111111111111111
Post-COVID,dmc,7,1,0.1111111111111111
Post-COVID,enabled,7,3,0.3333333333333333
Post-COVID,quality_assurance,6,3,0.3333333333333333
Post-COVID,statistical_modeling,6,2,0.2222222222222222
Post-COVID,issues,6,3,0.3333333333333333
Post-COVID,systems,6,4,0.4444444444444444
Post-COVID,large,6,2,0.2222222222222222
Post-COVID,oversight,6,3,0.3333333333333333
Post-COVID,covid,6,2,0.2222222222222222
Post-COVID,global,6,2,0.2222222222222222
Post-COVID,treatments,6,1,0.1111111111111111
Post-COVID,glaucoma,6,1,0.1111111111111111
Post-COVID,registry,6,1,0.1111111111111111
Post-COVID,risk_based_monitoring,6,3,0.3333333333333333
Post-COVID,performance,6,1,0.1111111111111111
Post-COVID,blockchain,6,1,0.1111111111111111
Post-COVID,provide,5,3,0.3333333333333333
Post-COVID,traditional,5,3,0.3333333333333333
Post-COVID,center,5,2,0.2222222222222222
Post-COVID,level,5,3,0.3333333333333333
Post-COVID,ensure,5,2,0.2222222222222222
Post-COVID,emergencies,5,1,0.1111111111111111
Post-COVID,vacctrain,5,1,0.1111111111111111
Post-COVID,emergency,5,1,0.1111111111111111
Post-COVID,three,5,2,0.2222222222222222
Post-COVID,adaptive,5,2,0.2222222222222222
Post-COVID,randomised,5,1,0.1111111111111111
Post-COVID,multiple,5,4,0.4444444444444444
Post-COVID,csm,5,1,0.1111111111111111
Post-COVID,machine_learning,5,1,0.1111111111111111
Post-COVID,quality_risk_assessment,4,2,0.2222222222222222
Post-COVID,activities,4,4,0.4444444444444444
Post-COVID,consent,4,3,0.3333333333333333
Post-COVID,operational,4,2,0.2222222222222222
