topic,earlier_block,later_block,earlier_n_docs,later_n_docs,earlier_total_docs,later_total_docs,earlier_share,later_share,share_delta,share_delta_abs,new_in_later_block,disappeared_in_later_block,p_value_fisher,q_value,exploratory_signal
0.0,Before 2015,2015-2019,1,1,1,4,1.0,0.25,-0.75,0.75,False,False,0.4000000000000001,1.0,True
1.0,Before 2015,2015-2019,0,2,1,4,0.0,0.5,0.5,0.5,True,False,1.0,1.0,True
2.0,2020-2023,2024-current,1,2,6,3,0.16666666666666666,0.6666666666666666,0.5,0.5,False,False,0.22619047619047622,1.0,True
1.0,2020-2023,2024-current,2,0,6,3,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,False,True,0.5000000000000001,1.0,True
3.0,2015-2019,2020-2023,0,2,4,6,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.4666666666666667,1.0,True
3.0,2020-2023,2024-current,2,0,6,3,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,False,True,0.5000000000000001,1.0,True
2.0,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
1.0,2015-2019,2020-2023,2,2,4,6,0.5,0.3333333333333333,-0.16666666666666669,0.16666666666666669,False,False,1.0,1.0,False
0.0,2020-2023,2024-current,1,1,6,3,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,False,False,1.0,1.0,False
0.0,2015-2019,2020-2023,1,1,4,6,0.25,0.16666666666666666,-0.08333333333333334,0.08333333333333334,False,False,1.0,1.0,False
2.0,2015-2019,2020-2023,1,1,4,6,0.25,0.16666666666666666,-0.08333333333333334,0.08333333333333334,False,False,1.0,1.0,False
3.0,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
