topic,semantic_label,field,rank,term
0,clinical_trial + data_integrity + oversight,topic_words,1,clinical_trial
0,clinical_trial + data_integrity + oversight,topic_words,2,quality
0,clinical_trial + data_integrity + oversight,topic_words,3,research
0,clinical_trial + data_integrity + oversight,topic_words,4,data
0,clinical_trial + data_integrity + oversight,topic_words,5,quality_by_design
0,clinical_trial + data_integrity + oversight,topic_words,6,safety
0,clinical_trial + data_integrity + oversight,topic_words,7,veterinary
0,clinical_trial + data_integrity + oversight,topic_words,8,blockchain
0,clinical_trial + data_integrity + oversight,topic_words,9,regulated
0,clinical_trial + data_integrity + oversight,topic_words,10,clinical_study
0,clinical_trial + data_integrity + oversight,top_nodes,1,clinical_trial
0,clinical_trial + data_integrity + oversight,top_nodes,2,data_integrity
0,clinical_trial + data_integrity + oversight,top_nodes,3,oversight
0,clinical_trial + data_integrity + oversight,top_nodes,4,quality_assurance
0,clinical_trial + data_integrity + oversight,top_nodes,5,clinical_research
0,clinical_trial + data_integrity + oversight,top_nodes,6,adverse_event_reporting
0,clinical_trial + data_integrity + oversight,top_nodes,7,corrective_preventive_action
0,clinical_trial + data_integrity + oversight,top_nodes,8,data_quality
0,clinical_trial + data_integrity + oversight,top_categories,1,Clinical_Operations
0,clinical_trial + data_integrity + oversight,top_categories,2,Data
0,clinical_trial + data_integrity + oversight,top_categories,3,Governance
0,clinical_trial + data_integrity + oversight,top_categories,4,RBQM
1,clinical_trial + oversight + accountability,topic_words,1,trial
1,clinical_trial + oversight + accountability,topic_words,2,large
1,clinical_trial + oversight + accountability,topic_words,3,trials
1,clinical_trial + oversight + accountability,topic_words,4,international
1,clinical_trial + oversight + accountability,topic_words,5,clinical_trial
1,clinical_trial + oversight + accountability,topic_words,6,global
1,clinical_trial + oversight + accountability,topic_words,7,dmc
1,clinical_trial + oversight + accountability,topic_words,8,public
1,clinical_trial + oversight + accountability,topic_words,9,financial
1,clinical_trial + oversight + accountability,topic_words,10,cost
1,clinical_trial + oversight + accountability,top_nodes,1,clinical_trial
1,clinical_trial + oversight + accountability,top_nodes,2,oversight
1,clinical_trial + oversight + accountability,top_nodes,3,accountability
1,clinical_trial + oversight + accountability,top_nodes,4,centralized_monitoring
1,clinical_trial + oversight + accountability,top_nodes,5,data_integrity
1,clinical_trial + oversight + accountability,top_nodes,6,governance
1,clinical_trial + oversight + accountability,top_nodes,7,quality_assurance
1,clinical_trial + oversight + accountability,top_nodes,8,technical_support
1,clinical_trial + oversight + accountability,top_categories,1,Clinical_Operations
1,clinical_trial + oversight + accountability,top_categories,2,Data
1,clinical_trial + oversight + accountability,top_categories,3,Governance
1,clinical_trial + oversight + accountability,top_categories,4,Monitoring
2,clinical_trial + data_integrity + machine_learning,topic_words,1,data
2,clinical_trial + data_integrity + machine_learning,topic_words,2,quality_tolerance_limit
2,clinical_trial + data_integrity + machine_learning,topic_words,3,clinical
2,clinical_trial + data_integrity + machine_learning,topic_words,4,machine_learning
2,clinical_trial + data_integrity + machine_learning,topic_words,5,performance
2,clinical_trial + data_integrity + machine_learning,topic_words,6,patient
2,clinical_trial + data_integrity + machine_learning,topic_words,7,study
2,clinical_trial + data_integrity + machine_learning,topic_words,8,monitoring
2,clinical_trial + data_integrity + machine_learning,topic_words,9,safety
2,clinical_trial + data_integrity + machine_learning,topic_words,10,roche
2,clinical_trial + data_integrity + machine_learning,top_nodes,1,clinical_trial
2,clinical_trial + data_integrity + machine_learning,top_nodes,2,data_integrity
2,clinical_trial + data_integrity + machine_learning,top_nodes,3,machine_learning
2,clinical_trial + data_integrity + machine_learning,top_nodes,4,clinical_quality_assurance
2,clinical_trial + data_integrity + machine_learning,top_nodes,5,quality_assurance
2,clinical_trial + data_integrity + machine_learning,top_nodes,6,risk_based_monitoring
2,clinical_trial + data_integrity + machine_learning,top_nodes,7,adverse_event_reporting
2,clinical_trial + data_integrity + machine_learning,top_nodes,8,adverse_event_underreporting
2,clinical_trial + data_integrity + machine_learning,top_categories,1,Data
2,clinical_trial + data_integrity + machine_learning,top_categories,2,Clinical_Operations
2,clinical_trial + data_integrity + machine_learning,top_categories,3,AI
2,clinical_trial + data_integrity + machine_learning,top_categories,4,Monitoring
3,clinical_trial + statistical_modeling + quality_risk_assessment,topic_words,1,risk
3,clinical_trial + statistical_modeling + quality_risk_assessment,topic_words,2,management
3,clinical_trial + statistical_modeling + quality_risk_assessment,topic_words,3,system
3,clinical_trial + statistical_modeling + quality_risk_assessment,topic_words,4,data
3,clinical_trial + statistical_modeling + quality_risk_assessment,topic_words,5,registry
3,clinical_trial + statistical_modeling + quality_risk_assessment,topic_words,6,glaucoma
3,clinical_trial + statistical_modeling + quality_risk_assessment,topic_words,7,management system
3,clinical_trial + statistical_modeling + quality_risk_assessment,topic_words,8,quality
3,clinical_trial + statistical_modeling + quality_risk_assessment,topic_words,9,audit
3,clinical_trial + statistical_modeling + quality_risk_assessment,topic_words,10,quality management
3,clinical_trial + statistical_modeling + quality_risk_assessment,top_nodes,1,clinical_trial
3,clinical_trial + statistical_modeling + quality_risk_assessment,top_nodes,2,statistical_modeling
3,clinical_trial + statistical_modeling + quality_risk_assessment,top_nodes,3,quality_risk_assessment
3,clinical_trial + statistical_modeling + quality_risk_assessment,top_nodes,4,remote_auditing
3,clinical_trial + statistical_modeling + quality_risk_assessment,top_nodes,5,data_integrity
3,clinical_trial + statistical_modeling + quality_risk_assessment,top_nodes,6,interpretability
3,clinical_trial + statistical_modeling + quality_risk_assessment,top_nodes,7,quality_assurance
3,clinical_trial + statistical_modeling + quality_risk_assessment,top_nodes,8,data_quality
3,clinical_trial + statistical_modeling + quality_risk_assessment,top_categories,1,Data
3,clinical_trial + statistical_modeling + quality_risk_assessment,top_categories,2,Clinical_Operations
3,clinical_trial + statistical_modeling + quality_risk_assessment,top_categories,3,Monitoring
3,clinical_trial + statistical_modeling + quality_risk_assessment,top_categories,4,RBQM
